text,task_1
This fuzzy wuzzy kitten wants to know how a raven is like a writing desk. Find out why here &#8594; http://t.co/GI9On86iGV http://t.co/HlKDTSgKwU,NOT
RT @PimpUncleJoe: #MyGoalFor2012 UnHoe these bitches,HOF
@panchoftf red and yellow it should be then,NOT
@ShojoAIE a bright neon yellow gauntlet,NOT
@cgoodwoman @stevenadamswv Crystal probably only person in world interested in my poor black hillbilly:Jamaica::poor white hillbilly:WV idea,NOT
I ain't really trippin about the money yo that shit constantly comes like a bitch pussy,HOF
I'm just tryna get to sleep before the birds start getting rowdy.,NOT
Why would I fuck a bitch that can't fuck? Jus like u hoes don't want want a nigga wit a clit ticckler,HOF
...if Amber Rose can rock a bald head and a bald pussy then motherfucker so can I.,HOF
"RT @theHIGHESTpeak_: Flavaaaaa in ya ear, that hoe live lol",HOF
Bitches be like I want something real ... And I be like I want a bitch with real hair but we can't always get what we want now can we lol,HOF
RT @AmyRoseKathryn: Justice for British seagull spray-painted red by thugs! The bird won&#8217;t be able to fly anymore! http://t.co/8PyhwE4L8S h&#8230;,NOT
Shut up bitch swallow,HOF
@Crewz76 I miss Tupac rap offs hillbilly,NOT
Helga was a bitch.... And for what reason.? #HeyArnold,HOF
He may be the President but that doesn't necessarily mean he's in the sole position of power in regard to making such decisions.,NOT
Bahaha omg &#128518;&#128557;&#128586; this bitch is crazyyy . http://t.co/HFkTledkpa,HOF
So now been trill is trash cus asap said so &#128533; ok,NOT
I think all y'all losing y'all niggas Cuz the season changed y'all seasonal hoes &#128557;,HOF
bitches love beyonce,HOF
I uploaded a @YouTube video http://t.co/8rLE3JNr GOProud Makes Money Out of Twinkie Crisis in Free Market Spirit,NOT
I want a slope job so I can get away from everything and be by myself for two weeks. I hate being around people unless they are my friends.,NOT
RT @Cajun_peach: Because humans aren't delicious ho RT @peta: Smarter than dogs AND your 3-year-old child. So why EAT them? http://t.co/eRT&#8230;,NOT
"Now put Ya ass on this dicc, let me know you that baddest lit bitch.",HOF
@kate_beckwith74 don't judge me monkey,NOT
"37- no, i dont like hoes",HOF
@kathleen_herne Stink should shut his hole &amp; just perform his tricks like a good trained monkey,NOT
&#8220;@JukeJuke_9: Lance Stevenson gone leave Indiana&#8221; he trash anyway,NOT
Need a bitch to drop it down for a niggah,HOF
"RT @xSALUTE_BADDAZZ: Well I just got conformation that is your body count is five or above, it's high and you a hoe &#128514;&#128514;&#128514;",HOF
&lt;&lt;&lt;when it's yellow outside,NOT
"RT @Garvey_B: New sign up at mong kok protest site says: ""fight for democracy and oppose the communists to have a future"" http://t.co/w2pOn&#8230;",NOT
International police operation disrupts Shylock banking Trojan - Computerworld: The GuardianInternational poli... http://t.co/zIBNJMIILJ,NOT
@SugarShai2 youtube bear vs monkey bike race!,NOT
RT @ChicoTheWolf: #DavidPullsBitches &#8220;@davidam_23: #TweetSomethingYouGetAlot Go talk to all your other hoes&#8221;,HOF
RT @pumpkinheaddd: &#128530; why these hoes acting like they not getting fucked &amp; sucking dick &#128080; but I ain't saying nothing &#128520;,HOF
"Ok, night night bitches",HOF
@Cryystalina haha yes niggah but yesterday night Idk man it hit me at night like around 2 in the morning didn't go to sleep till like 4..,HOF
i dont think women should wear flesh tone colored pants... lol,NOT
@harley_schuder k bitch niggas,HOF
"@NYRKelsMads 
Dat damn dog eats betta den most colored folk do.",NOT
&#8220;@therealiman: No one wants to see curvy women - Karl Lagerfeld&#8221; he retarded,HOF
RT @TomBradysEgo: Might have a better chance if we put some trash cans out there.,NOT
"@FemsHaveBallz have u spent significant time in ANY ghetto, or witnessed the years of terrorism committed by police in the Black community?",NOT
"@ThequeenTommy so fucking annoying when a hoe is like ""omg relationship goals"" like close your legs, get dressed and do something about it.",HOF
"RT @_politeASSHOLE: 4) Only pussy niggas who suck dick cry about someone being in their mentions, tweet the person then cry again about the&#8230;",HOF
@Royceda59 Green bananas are better then yellow ones too.,NOT
"we live in a world where drake can steal your hoes and make fun of you, shit crazy",HOF
"I thought it was bros over hoes , guess not &#128530;",HOF
RT @TheVoiceOfMiami: Miami* RT @PacDaGoat: Houston has so many trash drivers,NOT
"Chaber Books: BRAGADAYJAH 24 http://t.co/bTMLYNNKZp: Nimrod the Cushite, first king of the earth. See Bragadayjah 24",NOT
"When all else fails, blast bare nips",NOT
@geokthree I literally just told @Black_SinS to his face how trash he is at the shop in hooping,NOT
"RT @Late___: I dive in tha pussy like...
&#128514;&#128514;&#128514;&#128513;&#128074;&#128175; http://t.co/c4jnQWp9dW",HOF
"@TasogarenoRaiko If you decide to do Damara, you should make her a gladiola. We have gorgeous rust-colored ones coming up over here.",NOT
I would describe @whatupag's work as blaxican.,NOT
RT @tolkienproverb: Fairy tale does not deny the existence of sorrow and failure...,NOT
WATCH-Obama&#8217;s Newly Released Gitmo Jihadi Has Links To Terrorists In Syria http://t.co/GufKoy44tk http://t.co/3n7M4PfNMx,NOT
@red_daddy17 @lilJohn_Fnv9 and dis wus after i offered to help faggot ass nigga get custody of his kids.... Im lowkey heated..,HOF
I got. A lot. Of hoes.... All up on my dick,HOF
@ArcticFox2016 everybody mocks Obama .Hes an embarrassment to the USA.,NOT
"""@iDntWearCondoms: Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that",HOF
@cakedjake We're laying rock around our lake. You're welcome to join a redneck workout. #muscles &#128170;&#128513;,NOT
@OriginvlEpic in the trash,NOT
RT @HMSguy: Rahal's an idiot. Second time this year he's wrecked someone under yellow.,NOT
Me and da @iamcolinquinn gonna do a reboot of da Jeffersons. Only dis time he gonna be Weezy and we married pre op trannies,HOF
"RT @ssbeirne: It's a bird! It's a plane! It's a boat! No...It's, it's... a flying human? #lakeerie #cle http://t.co/TTL10nqBzJ",NOT
"4 stacks for the heels on my bitch feet, car seat still smellin like 10 keys.. Tell the plug that I'm lookin for a increase..",HOF
Goodnight bitches (with a lisp),HOF
Majority of it is trash anyway.,NOT
At pussy cat lounge killin it with my girlz @blaqdior and @hpmiss,NOT
@RunuldoRants faggot sack,HOF
Simple minded hoe,HOF
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/u3PzeV9E9q,NOT
@jessicacassell1 find a new hillbilly!! #spiritweek!!,NOT
Smoke good weed with a bad bitch,HOF
City highway skyscrapers building lights yellow blue http://t.co/kOC9uYBFqV,NOT
@DetroitPlayer @prettytreazure gotta be atleast 5'10 to call me a bitch lol,HOF
RT @AIanHangover: let's play a game called stop being a lil bitch,HOF
If train officers that are wearing body armor stand back to watch the smoke clear. Why does every gun ho wanna be... http://t.co/cuLyANyQ,NOT
I give my niggas hope and sell these bitches dreams!,HOF
u want a cookie tomorrow bitch @_lostb0y,HOF
"RT @___Jazsy: If a bitch tweeting about a nigga and he saying he don't mess with her , He's lying&#128533; That bitch ain't tweeting for nothing &#128527;",HOF
Just purchased my first trenta iced coffee....this is a slippery slope,NOT
"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy.",NOT
This my dog telling me he is done playing frisbee for now.. lazy mutt http://t.co/l4AocjczsH,NOT
"RT @Heissarcastic: If my jokes offend you:

1) I'm sorry
2) It won't happen again
3) 1 &amp; 2 are lies
4) You're a pussy
5) Your Mom hates you&#8230;",HOF
@zach_smith98 @kieffer_jason @NathannDevlin bitch fight me so I can make you shut up am going to back my shit up,HOF
@WyattNuckels I'm not fake bitch meet me after school then nigga,HOF
"@pubsubs @Adessences @tzanchan86 btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto.",NOT
@IMNOTMAKINGITUP Hey u just followed me not long ago. Gonna nip that in da bud. like ur bio tho. U know the white devils stole our our,NOT
"RT @rickygervais: Have a great day, you lovely fellow apes :) http://t.co/jZL7filv0q",NOT
#WorldSeriesGame3 Hunter Pence is so annoying he should be a Red Sox player. Shave fool and take your Vyvanse&#9918;&#65039;&#9918;&#65039;&#128074;&#128074;#Yankees 2015!!,NOT
"RT @MLBStatoftheDay: Since 1914, Derek Jeter&#8217;s 91 multi-hit games vs @RedSox are 4th most among @Yankees, behind Gehrig&#8217;s 121, Ruth&#8217;s 99 an&#8230;",NOT
