id,text,original_label,binary_label,source,language_hint,split,normalized_text,flagged_tokens,prediction
hasoc_proxy-3337,"Who the fuck still plays flappy bird? &#128514;

&#8220;@loren_travis: Flappy bird feels like http://t.co/OQ3jnn7fwO&#8221;",HOF,Bullying,hasoc_proxy,latin,unspecified,who the fuck still plays flappy bird? 128514 8220 flappy bird feels like,[],Non-Bullying
hasoc_proxy-10795,"Hey! I'm gonna get some sort of bird tattooed on my body, accompanied with an anchor/rope situation. No one's doing that right now, right?",NOT,Non-Bullying,hasoc_proxy,latin,unspecified,"hey! i m gonna get some sort of bird tattooed on my body, accompanied with an anchor rope situation no one s doing that right now, right?",[],Bullying
hasoc_proxy-5980,@GabrielaAngela4 @StephyRae7 Gabby why are you so ghetto?,HOF,Bullying,hasoc_proxy,latin,unspecified,gabby why are you so ghetto?,[],Non-Bullying
hasoc_proxy-6421,Aye we all needa keep are heads up high who cares if we lost we all went and tried our best &amp;south is a bunch of trash talking pussys ! -.-,HOF,Bullying,hasoc_proxy,latin,unspecified,aye we all needa keep are heads up high who cares if we lost we all went and tried our best amp south is a bunch of trash talking pussys ! .,[],Non-Bullying
hasoc_proxy-712,i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;,HOF,Bullying,hasoc_proxy,latin,unspecified,i ran out 128553 rt this hoe just texted me asking to borrow a roll of tissue until tomorrow 1285 1285 128557 128557 128557,[],Non-Bullying
hasoc_proxy-314,But rich is a light skin coon. So it's expected.,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,but rich is a light skin coon so it s expected,[],Bullying
hasoc_proxy-9447,"@rickahyatt @donaldbroom @Poysti 
That bastard Obama is giving them to the f-ing wetbacks.",HOF,Bullying,hasoc_proxy,latin,unspecified,that bastard obama is giving them to the fing wetbacks,[],Non-Bullying
hasoc_proxy-11586,RT @ConceitedNoRezn: So ike just had to punch a nigga for harassing a young lady on Ga ave and Florida Ave in nw dc #youoksis,HOF,Bullying,hasoc_proxy,latin,unspecified,rt so ike just had to punch a nigga for harassing a young lady on ga ave and florida ave in nw dc youoksis,[],Non-Bullying
hasoc_proxy-9596,RT @Annnna_dav69: I hate trailer trash &#128567;,HOF,Bullying,hasoc_proxy,latin,unspecified,rt i hate trailer trash 128567,[],Non-Bullying
hasoc_proxy-5494,@Tamorite @The_Greatest_10 The truth hurts nigguh.,HOF,Bullying,hasoc_proxy,latin,unspecified,the truth hurts nigguh,[],Non-Bullying
