text,task_1
"934 8616
i got a missed call from yo bitch",HOF
RT @KINGTUNCHI_: Fucking with a bad bitch you gone need some money lil homie!,HOF
"RT @eanahS__: @1inkkofrosess lol my credit ain't no where near good , but I know the right man for the job .. that ho nice though!",NOT
RT @Maxin_Betha Wipe the cum out of them faggot RT @80sbaby4life Contact lens is wildin can't see shit,HOF
Niggas cheat on they bitch and don't expect no pay back WHATSOEVER. Yall just as naive as these bitches.,HOF
"Mother asked what I wanted for Christmas this year. Replied with for her to not go crazy, and my sister to not be a bitch.",HOF
"That's real dedication. .. &#171;@arigold_88 This bitch got diarrhea and still here, shitting up the bathroom.&#187;",HOF
"Kiss IMO this conductor, it's 4:30 AM have some courtesy you bitch.",HOF
My momma keep talking to me like bitch gtf I'm on Twitter.,HOF
RT @karlos_budah: I kno this bitch a thot she wanna meet my momma now,HOF
like a bitch pic is flirting nowadays,HOF
@Nien_Nunb what did you search? Gay redneck episode 1 play?,HOF
"Halloween's over, and bitches still playing roles.",HOF
fucking queer,HOF
"Why bitches quick to have a nigga baby, then be suprised when she taking care of it by herself?",HOF
I stopped snapping on women and calling them bitches.,HOF
"@KeebitHalal @LogansWarning gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy",HOF
"Idgaf about you flat chested hoes feelings either, you a grown ass man nigga.",HOF
So yall give farwells to Lulu yet did all but shit on Kris? Ok bitches... ok,HOF
@StunningStina their tortillas are trash though.,NOT
"RT @_sheswatsPOPPIN: js met a lil bitch wit a long name mufucka had more letters den Tennessee, I go gorilla ina pussy, RIP&#128527;",HOF
i need one of these around the world twitter bitches cause these local facebook hoes aint cuttin it lol,HOF
"RT @JeffDuncan_: JSU coach Omar Johnson: ""It's what u do against the ball. U throw it, hit it, catch it. Doesn't matter if the Yankees are &#8230;",NOT
"i seen a nigga dressed to impress, hop out da bus n a bitch wit a phatty, get off at his stop too. Say somethin...GOD THROWIN U DA LOB",HOF
2 or 3 hoes for everything &#128527;&#128520;&#128526;,HOF
"If I had hair, I would seriously go for a perm now. Genetics is a stone cold bitch.",HOF
Ima start friend zoning these hoes &#128514;&#128514;&#128514;,HOF
RT @bdha: http://t.co/zPrnmY7kQR What a shit heel.,HOF
This bitch pregnant again &#128064;&#128514;&#128514;,HOF
RT @davegetnmoney: We don't want no skinny bitches get out! WE WANT BIG BOOTY BITCHES!,HOF
RT @VibeLord: your opinion of me is highly irrelevant bitch,HOF
RT @BigSean: Suck my dick bitch RT @MaizeNBlue23: @bigsean not only are you terrible. You are why hip hop is dead,HOF
RT @rebellious_midy: Ugly bitches definitely disguste me &#128534; ewww yuck!,HOF
This hoe taken by the world smh,HOF
RT @CauseWereGuys: How to get unlimited pussy in high school http://t.co/0yaDezrREr,HOF
"RT @lovexlilyy: don't play games with a girl who can play better, bitch.",HOF
I'm just tryna get to sleep before the birds start getting rowdy.,NOT
Kiss imik this bitch just added another 50 seconds to her story I think its a new record.,HOF
Inde jus got me all hype at work!! I knew my bitch Candace ain't die,HOF
@panchoftf red and yellow it should be then,NOT
"I, for one, welcome our new Eastern Panhandle overlords, and hope they do a better job than the yokels who got us here in the first place.",NOT
@ronsonsolaqa I love you too pussy.... Lmaooo,HOF
@DrunkAtChurch @MzYummyDread Slide up on a bad bitch/Dat bitch look good,HOF
@strawberrycoca ling ling krunkchip,NOT
@saucygyro she's a dyke &amp; looks like she's 12,HOF
RT @dnumberbefore_2: She used to be more fun as a hoe ..this new you is to positive,HOF
"RT @YUNGRAJEE: No nigga ever ask before he hit either &#8220;@jaybeeTRENDz: Body counts don't matter ! YALL treat all bitches the same anyway, st&#8230;",HOF
"&#8220;@AshlynWynns: I'm a ""mud shark"" because I have black friends. Makes perfect sense. &#128514;&#128557;&#128514;&#128557; #idiotic&#8221; @",NOT
Shylock &amp; Wongs: 3 Incidents of Democrat Bigotry In 3 Weeks - Media Mum http://t.co/rX8ynPg1Yd via @BreitbartNews,NOT
Smile at the bitches who hate you.,HOF
See niggas they be mad and all these hoes go &#128584;,HOF
@kieffer_jason bitch wtf r u talking about and why tf r u still talking shit but not doing no action no thank for proving my point pussy boy,HOF
RT @Teamadeezy: Niggas is hoes 2,HOF
@rellyOnSMASH @LiveAndUncut my bitch do all that and still go out,HOF
@allsportsbruh you say waste a draft pick on Manziel when we have Mallet. that's why I'm telling you to delete your account. You're retarded,HOF
&#8220;@Condeezy3: What to do after the game....home alone and nothing to do...someone come chill?:) maybe go swimm&#8221; ima do ya bitch,HOF
I be chillin wit the bitches cuz a lotta niccas fake,HOF
fuck her rite in the pussy,HOF
RT @Chayeezy: When a bitch got you fucked up but you devoted your life to the Lord so you gotta stand there like you aint mad http://t.co/7&#8230;,HOF
RT @corey_emanuel: &#128557;&#128557;&#128557;&#128557; RT @ivyleague1908: SHAT!!!!!! RT @DirtRoadDon: When Deltas smell they own pussy http://t.co/3LojKQM8ZG,HOF
RT @RickRaze: Why would I be in a relationship theses hoes go still do them &#128514;&#128175;,HOF
"Damn ""@JonnieSantana: It's kinda trash man RT ""@80sbaby4life: How many of you actually have had a threesome. Honestly""""",HOF
@Benny_Balboa not to yall thou! Yalll fucking glad bag trash,HOF
@kieffer_jason @someone yea it's very true bitch,HOF
"everybody fuckin everybody bitch everybody wit the shits, thats lifee",HOF
@BradMich4Real thats shit gon be the death of these hoes...ion like it...,HOF
"RT @murrman5: ""Hun, I'm quitting my job and going to learn to become a psychic. Now I know what you're thinking, well not yet. I'm going to&#8230;",NOT
Thursdays really been trash this season @nfl,NOT
RT @letsargueboxing: @staycoolwheels screaming like a little bitch lmaooo,HOF
@Alan_Casillas haha shit niggah i wish,HOF
Nah we still up. RT @Tweets_NOchill: All the flat booty bitches asleep yet or Nah?,HOF
Get these hoe ass fuckboys off the stage. #VMAs,HOF
@josephljenkins Have heard some hillbilly grumblings that bugs worse in recent years because of MIC shutdown.,NOT
RT @RihannaHasAids: aight game over. dykes had to ruin it http://t.co/o0CAn6gb1p,HOF
@seansteiger31 yea cause I showed ya bitch ass,HOF
Seeing elder queer couples marry really is emotional. They get to live their final years with equality and with dignity.,HOF
"RT @Yankees: Gardy goes yardy again! He leads off the game with a HR for the second straight night, and it's 1-0 #Yankees!",NOT
"KaasPiet,bloemPiet.?lol men weet van gekkigheid niet meer hoe ze simpele oplossing tegen racisme moet maken.Zolang maar blanke beslissing is",NOT
RT @LettyBro_: Yall hoes super weakkkkkkkk,HOF
you ain't a real nigga without goal a to chase and a yellow bone bitch w/ some toes to paint,HOF
"RT @WolfpackAlan: Oreos: First you twist it, then you- aw crap, it broke.",HOF
You know what fuck that bitch and you didnt react? girl it's me and you,HOF
"Not ""us bitches"" &#128514;&#128514;&#128514;&#128514;&#128514;",HOF
Them hoes look so clean on foot.,HOF
RT @ATL_PRiNCeSS: A real bitch know she gotta pluck dat nipple hair,HOF
"RT @NikoWavy: A lot of bitches like to gamble, but not with money. They put their emotions, feelings and heart on the line.",HOF
"http://t.co/4YyVxESnUR

The far left looks the best if you ask me, bitches try too hard. Just be yourself, especially if you're thick",HOF
@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol,HOF
"RT @WhatTheFFacts: Actor Charlie Sheen once bought 2,600 seats at an Angels baseball game in hopes of catching a home run ball.",NOT
RT @JayOnDatAss: All these girls saying nobody can put em up with em. Dont no nigga want a bitch as a girlfriend fix that shit,HOF
"Out of day care, I'm taking a kitty nap on you hosers.",NOT
niggas ain't playin a gram of defense man George need to tell these bitch ass niggas man up,HOF
@_MckenzieNoel miss you bitch,HOF
@slayerific13 @daisymcgarr Like I said.. I might have to check but I'm just not sure bird shot counts as getting shot.,NOT
@ParhamBryce @lllexiss @lukejohnson06 @laurenbeckkkk1 alright then we'll in calling you a pussy also,HOF
